17_pose_orig 	-5324.080385525963
17 	-5324.131864359624
1h1q_pose0002 	-5324.955332779675
1h1q_pose_orig 	-5325.217643643654
1h1q 	-5325.565319300314
1h1r_pose_orig 	-5334.123090579289
1h1r 	-5335.047197733504
1h1s_pose0002 	-5423.363171672689
1h1s_pose0003 	-5423.364140308463
1h1s_pose0004 	-5422.654542495774
1h1s_pose0005 	-5409.683669622241
1h1s_pose_orig 	-5423.909866680458
1h1s 	-5423.040892186627
1oi9_pose0002 	-5382.0630795967345
1oi9_pose_orig 	-5382.581587203574
1oi9 	-5382.68501671564
1oiu_pose0002 	-5410.453702982318
1oiu_pose0003 	-5410.107718625699
1oiu_pose0004 	-5403.376510636307
1oiu_pose0005 	-5403.679662840941
1oiu_pose_orig 	-5410.112102895491
1oiu 	-5409.46813729707
1oiy_pose0002 	-5378.554677973761
1oiy_pose0003 	-5376.385635378834
1oiy_pose0004 	-5386.408417809254
1oiy_pose0005 	-5386.243146672569
1oiy_pose_orig 	-5381.439404564955
1oiy 	-5377.902692739882
20_pose0002 	-5378.7686682835365
20_pose0003 	-5380.817106752577
20_pose0004 	-5373.378429043855
20_pose0005 	-5375.279501333671
20_pose0006 	-5374.853472938842
20_pose0007 	-5375.184799022981
20_pose0008 	-5378.912451197357
20_pose_manual 	-5375.616136785692
20_pose_orig 	-5378.812818244803
20 	-5379.871295777568
21_pose0002 	-5365.54665634848
21_pose0003 	-5366.51859159978
21_pose_orig 	-5362.388601948253
21 	-5364.710374655498
22_pose0002 	-5320.612475537325
22_pose0003 	-5320.547468646854
22_pose_orig 	-5321.081361489152
22 	-5320.56666075617
26_pose0002 	-5363.596735421869
26_pose0003 	-5364.335127388484
26_pose0004 	-5363.788573868347
26_pose0005 	-5363.6336548867475
26_pose_orig 	-5364.4305510135855
26 	-5362.872443214493
28_pose0002 	-5421.845204788476
28_pose0003 	-5415.653806754288
28_pose0004 	-5422.224135531445
28_pose0005 	-5411.344004239754
28_pose0006 	-5411.5722562013025
28_pose0007 	-5411.198658142882
28_pose0008 	-5421.070117917545
28_pose0009 	-5415.964097525348
28_pose0010 	-5411.90305111003
28_pose0011 	-5408.936131158809
28_pose0012 	-5411.469358881955
28_pose0013 	-5415.316665492237
28_pose0014 	-5419.104667343048
28_pose_manual 	-5422.602284540945
28_pose_orig 	-5418.4948711062025
28 	-5421.733396953841
29_pose0002 	-5408.066263399938
29_pose0003 	-5407.753020143711
29_pose0004 	-5413.0085125287615
29_pose0005 	-5414.687963701
29_pose0006 	-5411.855974752329
29_pose_orig 	-5414.476285923361
29 	-5407.910347232303
30_pose0002 	-5426.81025836746
30_pose0003 	-5426.587833484287
30_pose0004 	-5429.848926271593
30_pose0005 	-5429.681080296595
30_pose_orig 	-5429.9050825499335
30 	-5424.544146170193
31_pose0002 	-5357.720815776848
31_pose0003 	-5355.788333285953
31_pose_manual 	-5358.857620450533
31_pose_orig 	-5354.946244025769
31 	-5357.368192726771
32_pose0002 	-5461.751867121972
32_pose0003 	-5462.48669414876
32_pose0004 	-5462.292849528894
32_pose0005 	-5461.5516526677475
32_pose0006 	-5462.852951094807
32_pose0007 	-5463.009049894638
32_pose0008 	-5455.502712298926
32_pose0009 	-5465.990690886259
32_pose0010 	-5454.439452879804
32_pose_orig 	-5458.899037680387
32 	-5461.2649787585815
