2aa_pose0019 	-22.939411586898796
2bb_pose0008 	-15.881970791968248
2c_pose_orig 	-14.68219834700344
2ee 	-21.83679110071958
2e_pose0003 	-24.641731455863617
2ff_pose0004 	-24.996085511925838
2f_pose0005 	-21.48944435051514
2gg_pose_orig 	-20.751705186299112
2g 	-25.812685431413836
2h_pose0005 	-23.180400813915643
2i_pose0005 	-21.61714842400443
2j_pose0003 	-22.20710028756594
2k_pose_orig 	-24.24700176518292
2l_pose0002 	-29.524057358781672
2m_pose0023 	-30.847411470139214
2n_pose0005 	-32.348963578832816
2o_pose0043 	-23.36631975643752
2p_pose0015 	-22.63148005980748
2q_pose_orig 	-22.74662513325343
2r 	-33.19664119762564
2s_pose0024 	-22.479685831376635
2t_pose0003 	-30.250160596437873
2u_pose_40_c 	-33.21606023663737
2v 	-18.84543793042824
2x_pose0006 	-23.140057310053066
2y_pose0002 	-22.529543223515738
2z_pose0005 	-23.089217020286505
3fln_pose0004 	-23.873268225897544
3flq_pose0004 	-18.880765387850737
3flw_pose0098 	-27.791283832249942
3fly_pose_orig 	-24.434513666307495
3flz_pose0008 	-22.48513473487098
3fmh_pose0009 	-24.170968667093174
3fmk_pose0009 	-22.0197761778366
