23	-7.59461
26	-7.43414
27	-6.32547
28	-6.56054
29	-6.70269
30	-6.57310
31	-6.71361
32	-6.54304
33	-6.49417
34	-6.64356
35	-6.76763
36	-7.04412
37	-7.01529
38	-8.34310
39	-7.42722
40	-7.43831
41	-7.33671
42	-7.42699
43	-7.27789
44	-7.62615
45	-7.65520
46	-7.15174
47	-6.97339
48	-6.83119
49	-6.72411
50	-7.14417
51	-7.34608
52	-6.98865
53	-7.30055
54	-7.62804
56	-7.13738
57	-7.46800
58	-7.34722
60	-7.22971
61	-7.21673
62	-7.54450
63	-7.45420
64	-7.76479
65	-7.31197
66	-7.67229
67	-7.10749
68	-7.53696
